순위,책제목,저자,출판사
1,유지만 다이어트 레시피,유지만 저,길벗
2,혼모노,성해나 저,창비
3,"첫 여름, 완주",김금희 저,무제
4,청춘의 독서,유시민 저,웅진지식하우스
5,우리의 낙원에서 만나자,하태완 저,북로망스
6,단 한 번의 삶,김영하 저,복복서가
7,안녕이라 그랬어,김애란 저,문학동네
8,이재명 자서전,"이재명, 스토리텔링콘텐츠연구소 저",아시아
9,소년이 온다,한강 저,창비
10,어른의 품격을 채우는 100일 필사 노트,김종원 저,청림Life
11,어른의 행복은 조용하다,태수 저,페이지2북스
12,모순,양귀자 저,쓰다
13,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",최태성 저,이투스북
14,"혹시, 돈 얘기해도 될까요?",주언규 저,필름
15,"2025 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",최태성 저,이투스북
16,작은 땅의 야수들,김주혜 저/박소현 역,다산책방
17,미술관에 간 할미,할미 저,더퀘스트
18,급류,정대건 저,민음사
19,ETS 토익 정기시험 기출문제집 1000 Vol. 4 RC,ETS 저,YBM(와이비엠)
20,위버멘쉬,프리드리히 니체 저,떠오름
21,워런 버핏 웨이,로버트 해그스트롬 저/신용우 역,상상스퀘어
22,왓츠 유어 드림,사이먼 스큅 저/최인하 역,북파머스
23,초역 부처의 말,코이케 류노스케 저/박재현 역,포레스트북스
24,마침내 특이점이 시작된다,레이 커즈와일 저/이충호 역/장대익 감수,비즈니스북스
25,같이 읽자는 고백,김소영 저,이야기장수
26,ETS 토익 정기시험 기출문제집 1000 Vol. 4 LC,ETS 저,YBM(와이비엠)
27,처음 읽는 그리스 로마 신화 13,최설희 글/한현동 그림/정수영 편,미래엔아이세움
28,듀얼 브레인,이선 몰릭 저/신동숙 역,상상스퀘어
29,빅 사이클,레이 달리오 저/조용빈 역,한빛비즈
30,쇼펜하우어 인생수업 : 한 번뿐인 삶 이렇게 살아라 (리커버 에디션),쇼펜하우어 저 / 김지민 편,하이스트
31,결국 국민이 합니다,이재명 저,오마이북
32,엄마의 말 연습,윤지영 저,카시오페아
33,원피스 ONE PIECE 111,오다 에이이치로 글그림,대원
34,고전이 답했다 마땅히 가져야 할 부에 대하여,고명환 저,라곰
35,스토너,존 윌리엄스 저/김승욱 역,알에이치코리아(RHK)
36,해커스 토익 기출 VOCA (보카),David Cho 저,해커스어학연구소
37,멜로우TV 3 : 멜싹오싹 위험한 미션,멜로우 TV 원저/한바리 글/차차 그림,학산문화사(단행본)
38,묘식당의 신박한 가정간편식,이용경(유튜버 묘식당) 저,황금부엉이
39,소설판 사카모토 데이즈 : 킬러들의 블루스,미사키 렌카 저/스즈키 유우토 원저,대원
40,일과 성공의 길을 묻다,마쓰시타 고노스케 저/김정환 역,지니의서재
41,넥서스,유발 하라리 저/김명주 역,김영사
42,마법천자문 67,알에스미디어 글/정수영 그림/강용철 감수,아울북
43,하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스
44,믿을 구석 The Last Resort,"김멜라, 김복희, 김이설, 박정민, 박참새 저 외 9명
                                        
정보 더 보기/감추기



김멜라
김복희
김이설
박정민
박참새
손원평
오은
조예은
천선란
황인찬
김정아
배유진
전인범
이해인",서울국제도서전
45,스파이 패밀리 Spy Family 15,엔도 타츠야 글그림,학산문화사
46,물질의 세계,에드 콘웨이 저/이종인 역,인플루엔셜
47,채식주의자,한강 저,창비
48,역사의 시선,전우용 저,삼인
49,작별하지 않는다,한강 저,문학동네
50,빛과 실,한강 저,문학과지성사
51,행복한 철학자,우애령 저/펀자이씨(엄유진) 그림,하늘재
52,순간을 달리는 할머니 1,펀자이씨(엄유진) 글그림,문학동네
53,에그박사 15,에그박사 원저/박송이 글/홍종현 그림/주세종 감수,미래엔아이세움
54,불멸의 유전자,리처드 도킨스 저/야나 렌조바 그림/이한음 역,을유문화사
55,스위치온 다이어트 레시피북,"박용우, 김영아 저",루미너스
56,그릿 GRIT,김주환 저,인플루엔셜
57,저속노화 마인드셋,정희원 저,웨일북
58,맞춤법 천재라면,"박정란, 서재인 글/김기수 그림",슈크림북
59,흔한남매 19,흔한남매 원저/백난도 글/유난희 그림/흔한컴퍼니 감수,미래엔아이세움
60,괴수 8호 RELAX 2,마츠모토 나오야 원저/Kizuku Watanabe 글그림/유유리 역,서울미디어코믹스(서울문화사)
61,순간을 달리는 할머니 2,펀자이씨(엄유진) 글그림,문학동네
62,"2025 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",최태성 저,이투스북
63,료의 생각 없는 생각,료 저,열림원
64,부의 전략 수업,폴 포돌스키 저/고영훈 역,필름
65,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기 저/임상훈 역,현대지성
66,설민석의 한국사 대모험 33,"설민석, 남이담 글/정현희 그림/강석화 감수",단꿈아이
67,마음의 기술,"안-엘렌 클레르, 뱅상 트리부 저/구영옥 역",상상스퀘어
68,밤새들의 도시,김주혜 저/김보람 역,다산책방
69,퓨처 셀프 30만 부 기념 스페셜 에디션,벤저민 하디 저/최은아 역,상상스퀘어
70,이로운 보수 의로운 진보,"최강욱, 최강혁 저",한겨레출판
71,이기적 유전자 The Selfish Gene,"리처드 도킨스 저/홍영남, 이상임 역",을유문화사
72,홍학의 자리,정해연 저,엘릭시르
73,서랍에 저녁을 넣어 두었다,한강 저,문학과지성사
74,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 저,해커스어학연구소
75,긴긴밤,루리 글그림,문학동네
76,세이노의 가르침,세이노(SayNo) 저,데이원
77,미지의 서울 대본집 세트,이강 저,BIRDBOX(버드박스)
